feature,importance_mean,importance_std
k,0.0,0.0
n,0.0,0.0
slots,0.0,0.0
overflow,0.0,0.0
positive_overflow,0.0,0.0
overflow_ratio,0.0,0.0
is_prime_n,0.0,0.0
gcd_k_n,0.0,0.0
log_n,0.0,0.0
sqrt_n,0.0,0.0
phi_over_n,0.0,0.0
omega_n,0.0,0.0
big_omega_n,0.0,0.0
tau_n,0.0,0.0
mordell_hard_residue_840,0.0,0.0
square_class_mod_840,0.0,0.0
min_mod_gap,0.0,0.0
n_mod_3,0.0,0.0
n_mod_3_scaled,0.0,0.0
k_mod_3,0.0,0.0
n_mod_4,0.0,0.0
n_mod_4_scaled,0.0,0.0
k_mod_4,0.0,0.0
n_mod_5,0.0,0.0
n_mod_5_scaled,0.0,0.0
k_mod_5,0.0,0.0
n_mod_7,0.0,0.0
n_mod_7_scaled,0.0,0.0
k_mod_7,0.0,0.0
n_mod_8,0.0,0.0
n_mod_8_scaled,0.0,0.0
k_mod_8,0.0,0.0
n_mod_11,0.0,0.0
n_mod_11_scaled,0.0,0.0
k_mod_11,0.0,0.0
n_mod_13,0.0,0.0
n_mod_13_scaled,0.0,0.0
k_mod_13,0.0,0.0
n_mod_16,0.0,0.0
n_mod_16_scaled,0.0,0.0
k_mod_16,0.0,0.0
n_mod_30,0.0,0.0
n_mod_30_scaled,0.0,0.0
k_mod_30,0.0,0.0
n_mod_210,0.0,0.0
n_mod_210_scaled,0.0,0.0
k_mod_210,0.0,0.0
n_mod_840,0.0,0.0
n_mod_840_scaled,0.0,0.0
k_mod_840,0.0,0.0
ramanujan_c_3,0.0,0.0
ramanujan_c_3_norm,0.0,0.0
ramanujan_c_4,0.0,0.0
ramanujan_c_4_norm,0.0,0.0
ramanujan_c_5,0.0,0.0
ramanujan_c_5_norm,0.0,0.0
ramanujan_c_7,0.0,0.0
ramanujan_c_7_norm,0.0,0.0
ramanujan_c_8,0.0,0.0
ramanujan_c_8_norm,0.0,0.0
ramanujan_c_11,0.0,0.0
ramanujan_c_11_norm,0.0,0.0
ramanujan_c_13,0.0,0.0
ramanujan_c_13_norm,0.0,0.0
ramanujan_c_16,0.0,0.0
ramanujan_c_16_norm,0.0,0.0
ramanujan_c_30,0.0,0.0
ramanujan_c_30_norm,0.0,0.0
ramanujan_c_210,0.0,0.0
ramanujan_c_210_norm,0.0,0.0
ramanujan_c_840,0.0,0.0
ramanujan_c_840_norm,0.0,0.0
