feature,importance_mean,importance_std
esc_first_m_mean,0.011068594046056182,0.0004553596021396988
hl_estimate,0.00788784831713732,0.00023466834455268133
log_hl_estimate,0.006263489636251836,0.00012958679803432883
esc_density_std,0.002341613756705961,0.00010533435951327168
ramanujan_c_30_norm,0.0010566087766362743,0.0001973177151731375
esc_first_m_max,0.0009442638267624856,0.0001083664850903508
esc_pair_hard_any_rate,0.0008745376386411022,8.37994268420827e-05
esc_density_mean,0.0008052576248094625,4.898723569476234e-05
ramanujan_c_5_norm,0.0003777526174376077,1.892577809900421e-05
esc_first_m_min,0.00035191716127159583,4.2713188026563736e-05
ramanujan_c_30,0.00022922241249044342,7.584696344704756e-05
N_mod_5_scaled,0.0002051605935987355,4.2911187673190536e-05
N_mod_30,0.00019170959728954476,4.398049652228113e-05
esc_min_mod_gap_mean,0.0001902022361087649,1.0809650373413884e-05
ramanujan_c_8_norm,0.00017555567770051692,0.00011973953158535055
N_mod_5,0.00017373170218472114,8.761607991530472e-05
ramanujan_c_8,0.00016363200692345176,7.339267292814488e-05
ramanujan_c_5,0.0001399100346594559,5.5912862609248734e-06
ramanujan_c_210,8.100259764710442e-05,7.705065494389505e-06
ramanujan_c_7,7.946649496513858e-05,6.220265318264844e-06
N_mod_11,5.814632580223439e-05,7.893120781032998e-06
N_mod_4_scaled,5.812903199008124e-05,2.7039151315282817e-05
N_mod_7_scaled,4.765544008809621e-05,2.5950773570463458e-05
N_mod_210_scaled,4.4638531172156805e-05,8.527090501850536e-06
N_mod_4,2.0047188293612073e-05,7.159384422575676e-06
N_mod_13_scaled,1.8368335976429635e-05,2.6783667654971952e-05
N_mod_7,1.3152997665850466e-05,1.2645067379204602e-05
N_mod_30_scaled,1.0881723250165398e-05,5.514089939954841e-05
ramanujan_c_4,1.0089528457641236e-05,5.238076180888703e-06
N_mod_11_scaled,9.377377955685495e-06,3.719580863967886e-05
ramanujan_c_11,5.308327229477476e-06,6.150961366942998e-06
ramanujan_c_13,4.205521641535703e-06,6.687398034649494e-07
ramanujan_c_7_norm,1.1395600101512156e-06,5.739406410674326e-07
ramanujan_c_3,7.658318136871678e-07,1.4176211962917568e-07
N_mod_8_scaled,7.000787875267404e-07,7.450457766175655e-06
ramanujan_c_4_norm,3.757291411633316e-07,8.358026599948041e-07
N_mod_3,2.3686277131803232e-07,1.175476980038408e-07
ramanujan_c_3_norm,3.351401124673803e-08,1.51173635064007e-07
sqrtN,0.0,0.0
logN,0.0,0.0
esc_unsolved_rate,0.0,0.0
N_mod_3_scaled,0.0,0.0
ramanujan_c_11_norm,-2.1639670367418207e-07,4.047905765573571e-06
ramanujan_c_13_norm,-4.579473697236454e-06,6.503839861063817e-06
N_mod_840,-1.0404188135912837e-05,2.7171861593160344e-05
N_mod_13,-1.0790752673776419e-05,1.7728491092304998e-06
N_mod_210,-1.2362503256001245e-05,9.388287140146244e-06
N_mod_8,-1.3791482035029057e-05,5.27978895190433e-06
ramanujan_c_16_norm,-1.4083407908142831e-05,6.163648354997081e-06
N_mod_840_scaled,-1.4221889937872842e-05,1.2376397137595013e-05
esc_hard_residue_rate,-1.94961922908507e-05,3.8226173658885506e-05
N_mod_16_scaled,-2.1850976576085385e-05,1.7728455224508094e-05
esc_pair_density_product_mean,-2.636267050013889e-05,7.006920811903566e-05
ramanujan_c_16,-3.1805378467533264e-05,1.0863970553140063e-05
ramanujan_c_210_norm,-3.4380531170776864e-05,6.180915242457149e-06
N_mod_16,-5.725150539024245e-05,2.3967542283402725e-05
ramanujan_c_840,-5.8379191392255815e-05,1.2975360938592562e-05
ramanujan_c_840_norm,-6.733062500272058e-05,3.726067020687223e-05
